event_id,session_id,sim_time_s,event_type,source,severity
EAVT-L1-WRONG-DIAGNOSIS-007-C07,EAVT-L1-WRONG-DIAGNOSIS-007,3375,elou_low_level_interlock,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-007-C08,EAVT-L1-WRONG-DIAGNOSIS-007,3460,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-007-C09,EAVT-L1-WRONG-DIAGNOSIS-007,3595,k2_critical_instability,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-008-C01,EAVT-L1-WRONG-DIAGNOSIS-008,3240,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-008-C02,EAVT-L1-WRONG-DIAGNOSIS-008,3250,severe_flow_imbalance,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-008-C03,EAVT-L1-WRONG-DIAGNOSIS-008,3270,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-008-C05,EAVT-L1-WRONG-DIAGNOSIS-008,3295,dangerous_heat_compensation,operator_action,critical
EAVT-L1-WRONG-DIAGNOSIS-008-C04,EAVT-L1-WRONG-DIAGNOSIS-008,3295,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-008-C06,EAVT-L1-WRONG-DIAGNOSIS-008,3320,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-008-C07,EAVT-L1-WRONG-DIAGNOSIS-008,3335,elou_low_level_interlock,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-008-C08,EAVT-L1-WRONG-DIAGNOSIS-008,3410,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-008-C09,EAVT-L1-WRONG-DIAGNOSIS-008,3550,k2_critical_instability,process_or_rule,critical
EAVT-L1-NO-VERIFICATION-010-C01,EAVT-L1-NO-VERIFICATION-010,3230,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-CHAOTIC-011-C01,EAVT-L1-CHAOTIC-011,3255,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-CHAOTIC-011-C02,EAVT-L1-CHAOTIC-011,3260,severe_flow_imbalance,process_or_rule,critical
EAVT-L1-CHAOTIC-011-C03,EAVT-L1-CHAOTIC-011,3290,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L1-CHAOTIC-011-C04,EAVT-L1-CHAOTIC-011,3315,dangerous_heat_compensation,operator_action,critical
EAVT-L1-CHAOTIC-011-C05,EAVT-L1-CHAOTIC-011,3320,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L1-CHAOTIC-012-C01,EAVT-L1-CHAOTIC-012,3390,severe_flow_imbalance,process_or_rule,critical
EAVT-L1-CHAOTIC-012-C02,EAVT-L1-CHAOTIC-012,3390,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-CHAOTIC-012-C03,EAVT-L1-CHAOTIC-012,3420,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L1-CHAOTIC-012-C05,EAVT-L1-CHAOTIC-012,3455,dangerous_heat_compensation,operator_action,critical
EAVT-L1-CHAOTIC-012-C04,EAVT-L1-CHAOTIC-012,3455,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L1-CHAOTIC-012-C06,EAVT-L1-CHAOTIC-012,3490,elou_low_level_interlock,process_or_rule,critical
EAVT-L2-EXPERT-013-C01,EAVT-L2-EXPERT-013,3335,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-EXPERT-013-C02,EAVT-L2-EXPERT-013,3360,dangerous_heat_compensation,operator_action,critical
EAVT-L2-EXPERT-014-C01,EAVT-L2-EXPERT-014,3280,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-EXPERT-014-C02,EAVT-L2-EXPERT-014,3285,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-EXPERT-014-C05,EAVT-L2-EXPERT-014,3305,dangerous_heat_compensation,operator_action,critical
EAVT-L2-EXPERT-014-C04,EAVT-L2-EXPERT-014,3305,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-EXPERT-014-C03,EAVT-L2-EXPERT-014,3305,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L2-EXPERT-014-C06,EAVT-L2-EXPERT-014,3355,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L2-EXPERT-014-C07,EAVT-L2-EXPERT-014,3370,elou_low_level_interlock,process_or_rule,critical
EAVT-L2-EXPERT-014-C08,EAVT-L2-EXPERT-014,3415,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L2-EXPERT-014-C09,EAVT-L2-EXPERT-014,3580,k2_critical_instability,process_or_rule,critical
EAVT-L2-SLOW-015-C01,EAVT-L2-SLOW-015,3310,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-SLOW-015-C02,EAVT-L2-SLOW-015,3315,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-SLOW-015-C03,EAVT-L2-SLOW-015,3335,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-SLOW-015-C04,EAVT-L2-SLOW-015,3380,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L2-SLOW-015-C07,EAVT-L2-SLOW-015,3400,dangerous_heat_compensation,operator_action,critical
EAVT-L2-SLOW-015-C05,EAVT-L2-SLOW-015,3400,elou_low_level_interlock,process_or_rule,critical
EAVT-L2-SLOW-015-C06,EAVT-L2-SLOW-015,3400,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L2-SLOW-015-C08,EAVT-L2-SLOW-015,3450,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L2-SLOW-015-C09,EAVT-L2-SLOW-015,3605,k2_critical_instability,process_or_rule,critical
EAVT-L2-SLOW-016-C01,EAVT-L2-SLOW-016,3270,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-SLOW-016-C02,EAVT-L2-SLOW-016,3280,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-SLOW-016-C03,EAVT-L2-SLOW-016,3300,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-SLOW-016-C04,EAVT-L2-SLOW-016,3345,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L2-SLOW-016-C05,EAVT-L2-SLOW-016,3360,elou_low_level_interlock,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-017-C01,EAVT-L2-ALARM-OVERLOAD-017,3345,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-017-C02,EAVT-L2-ALARM-OVERLOAD-017,3355,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-017-C03,EAVT-L2-ALARM-OVERLOAD-017,3375,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-017-C05,EAVT-L2-ALARM-OVERLOAD-017,3415,dangerous_heat_compensation,operator_action,critical
EAVT-L2-ALARM-OVERLOAD-017-C04,EAVT-L2-ALARM-OVERLOAD-017,3415,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-017-C06,EAVT-L2-ALARM-OVERLOAD-017,3420,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-017-C07,EAVT-L2-ALARM-OVERLOAD-017,3440,elou_low_level_interlock,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-017-C08,EAVT-L2-ALARM-OVERLOAD-017,3480,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-017-C09,EAVT-L2-ALARM-OVERLOAD-017,3645,k2_critical_instability,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-018-C01,EAVT-L2-ALARM-OVERLOAD-018,3335,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-018-C02,EAVT-L2-ALARM-OVERLOAD-018,3335,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-018-C03,EAVT-L2-ALARM-OVERLOAD-018,3360,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-018-C04,EAVT-L2-ALARM-OVERLOAD-018,3405,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-018-C05,EAVT-L2-ALARM-OVERLOAD-018,3425,elou_low_level_interlock,process_or_rule,critical
EAVT-L2-ALARM-OVERLOAD-018-C06,EAVT-L2-ALARM-OVERLOAD-018,3675,k2_critical_instability,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-019-C01,EAVT-L2-WRONG-DIAGNOSIS-019,3315,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-019-C02,EAVT-L2-WRONG-DIAGNOSIS-019,3320,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-019-C03,EAVT-L2-WRONG-DIAGNOSIS-019,3345,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-019-C05,EAVT-L2-WRONG-DIAGNOSIS-019,3380,dangerous_heat_compensation,operator_action,critical
EAVT-L2-WRONG-DIAGNOSIS-019-C04,EAVT-L2-WRONG-DIAGNOSIS-019,3380,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-019-C06,EAVT-L2-WRONG-DIAGNOSIS-019,3390,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-019-C07,EAVT-L2-WRONG-DIAGNOSIS-019,3410,elou_low_level_interlock,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-019-C08,EAVT-L2-WRONG-DIAGNOSIS-019,3455,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-019-C09,EAVT-L2-WRONG-DIAGNOSIS-019,3620,k2_critical_instability,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-020-C01,EAVT-L2-WRONG-DIAGNOSIS-020,3350,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-020-C02,EAVT-L2-WRONG-DIAGNOSIS-020,3350,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-020-C03,EAVT-L2-WRONG-DIAGNOSIS-020,3375,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-020-C05,EAVT-L2-WRONG-DIAGNOSIS-020,3405,dangerous_heat_compensation,operator_action,critical
EAVT-L2-WRONG-DIAGNOSIS-020-C04,EAVT-L2-WRONG-DIAGNOSIS-020,3405,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-020-C06,EAVT-L2-WRONG-DIAGNOSIS-020,3420,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-020-C07,EAVT-L2-WRONG-DIAGNOSIS-020,3435,elou_low_level_interlock,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-020-C08,EAVT-L2-WRONG-DIAGNOSIS-020,3480,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L2-WRONG-DIAGNOSIS-020-C09,EAVT-L2-WRONG-DIAGNOSIS-020,3650,k2_critical_instability,process_or_rule,critical
EAVT-L2-NO-VERIFICATION-021-C01,EAVT-L2-NO-VERIFICATION-021,3210,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-NO-VERIFICATION-021-C02,EAVT-L2-NO-VERIFICATION-021,3215,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-NO-VERIFICATION-021-C03,EAVT-L2-NO-VERIFICATION-021,3235,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-NO-VERIFICATION-021-C05,EAVT-L2-NO-VERIFICATION-021,3260,dangerous_heat_compensation,operator_action,critical
EAVT-L2-NO-VERIFICATION-021-C04,EAVT-L2-NO-VERIFICATION-021,3260,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L2-NO-VERIFICATION-022-C01,EAVT-L2-NO-VERIFICATION-022,3355,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-NO-VERIFICATION-022-C02,EAVT-L2-NO-VERIFICATION-022,3360,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-CHAOTIC-023-C01,EAVT-L2-CHAOTIC-023,3305,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-CHAOTIC-023-C02,EAVT-L2-CHAOTIC-023,3315,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-CHAOTIC-023-C03,EAVT-L2-CHAOTIC-023,3330,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-CHAOTIC-023-C04,EAVT-L2-CHAOTIC-023,3375,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L2-CHAOTIC-023-C05,EAVT-L2-CHAOTIC-023,3390,elou_low_level_interlock,process_or_rule,critical
EAVT-L2-CHAOTIC-023-C07,EAVT-L2-CHAOTIC-023,3400,dangerous_heat_compensation,operator_action,critical
EAVT-L2-CHAOTIC-023-C06,EAVT-L2-CHAOTIC-023,3400,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L2-CHAOTIC-023-C08,EAVT-L2-CHAOTIC-023,3445,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L2-CHAOTIC-023-C09,EAVT-L2-CHAOTIC-023,3610,k2_critical_instability,process_or_rule,critical
EAVT-L2-CHAOTIC-024-C01,EAVT-L2-CHAOTIC-024,3250,t11_branch_overtemperature,process_or_rule,critical
EAVT-L2-CHAOTIC-024-C02,EAVT-L2-CHAOTIC-024,3265,severe_flow_imbalance,process_or_rule,critical
EAVT-L2-CHAOTIC-024-C03,EAVT-L2-CHAOTIC-024,3280,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L2-CHAOTIC-024-C04,EAVT-L2-CHAOTIC-024,3325,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L2-CHAOTIC-024-C05,EAVT-L2-CHAOTIC-024,3345,elou_low_level_interlock,process_or_rule,critical
EAVT-L3-EXPERT-025-C01,EAVT-L3-EXPERT-025,3265,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-EXPERT-025-C03,EAVT-L3-EXPERT-025,3275,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-EXPERT-025-C02,EAVT-L3-EXPERT-025,3275,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-EXPERT-026-C01,EAVT-L3-EXPERT-026,3320,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-EXPERT-026-C02,EAVT-L3-EXPERT-026,3325,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-EXPERT-026-C03,EAVT-L3-EXPERT-026,3330,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-SLOW-027-C01,EAVT-L3-SLOW-027,3180,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-SLOW-027-C03,EAVT-L3-SLOW-027,3190,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-SLOW-027-C02,EAVT-L3-SLOW-027,3190,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-SLOW-027-C04,EAVT-L3-SLOW-027,3235,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L3-SLOW-027-C05,EAVT-L3-SLOW-027,3265,elou_low_level_interlock,process_or_rule,critical
EAVT-L3-SLOW-027-C06,EAVT-L3-SLOW-027,3285,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L3-SLOW-027-C07,EAVT-L3-SLOW-027,3490,k2_critical_instability,process_or_rule,critical
EAVT-L3-SLOW-028-C01,EAVT-L3-SLOW-028,3210,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-SLOW-028-C02,EAVT-L3-SLOW-028,3215,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-SLOW-028-C03,EAVT-L3-SLOW-028,3220,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-SLOW-028-C04,EAVT-L3-SLOW-028,3265,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L3-SLOW-028-C05,EAVT-L3-SLOW-028,3290,elou_low_level_interlock,process_or_rule,critical
EAVT-L3-SLOW-028-C06,EAVT-L3-SLOW-028,3320,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L3-SLOW-028-C08,EAVT-L3-SLOW-028,3325,dangerous_heat_compensation,operator_action,critical
EAVT-L3-SLOW-028-C07,EAVT-L3-SLOW-028,3325,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L3-SLOW-028-C09,EAVT-L3-SLOW-028,3495,k2_critical_instability,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-029-C01,EAVT-L3-ALARM-OVERLOAD-029,3260,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-029-C02,EAVT-L3-ALARM-OVERLOAD-029,3265,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-029-C03,EAVT-L3-ALARM-OVERLOAD-029,3270,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-029-C04,EAVT-L3-ALARM-OVERLOAD-029,3315,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-029-C05,EAVT-L3-ALARM-OVERLOAD-029,3340,elou_low_level_interlock,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-029-C06,EAVT-L3-ALARM-OVERLOAD-029,3365,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-029-C07,EAVT-L3-ALARM-OVERLOAD-029,3570,k2_critical_instability,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-030-C01,EAVT-L3-ALARM-OVERLOAD-030,3215,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-030-C02,EAVT-L3-ALARM-OVERLOAD-030,3215,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-030-C03,EAVT-L3-ALARM-OVERLOAD-030,3225,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-030-C04,EAVT-L3-ALARM-OVERLOAD-030,3270,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-030-C05,EAVT-L3-ALARM-OVERLOAD-030,3295,elou_low_level_interlock,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-030-C06,EAVT-L3-ALARM-OVERLOAD-030,3320,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L3-ALARM-OVERLOAD-030-C07,EAVT-L3-ALARM-OVERLOAD-030,3530,k2_critical_instability,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-031-C01,EAVT-L3-WRONG-DIAGNOSIS-031,3200,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-031-C02,EAVT-L3-WRONG-DIAGNOSIS-031,3205,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-031-C03,EAVT-L3-WRONG-DIAGNOSIS-031,3210,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-031-C04,EAVT-L3-WRONG-DIAGNOSIS-031,3255,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-031-C06,EAVT-L3-WRONG-DIAGNOSIS-031,3260,dangerous_heat_compensation,operator_action,critical
EAVT-L3-WRONG-DIAGNOSIS-031-C05,EAVT-L3-WRONG-DIAGNOSIS-031,3260,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-031-C07,EAVT-L3-WRONG-DIAGNOSIS-031,3280,elou_low_level_interlock,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-031-C08,EAVT-L3-WRONG-DIAGNOSIS-031,3315,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-031-C09,EAVT-L3-WRONG-DIAGNOSIS-031,3485,k2_critical_instability,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-032-C01,EAVT-L3-WRONG-DIAGNOSIS-032,3320,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-032-C02,EAVT-L3-WRONG-DIAGNOSIS-032,3325,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-032-C03,EAVT-L3-WRONG-DIAGNOSIS-032,3330,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-032-C04,EAVT-L3-WRONG-DIAGNOSIS-032,3375,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-032-C06,EAVT-L3-WRONG-DIAGNOSIS-032,3390,dangerous_heat_compensation,operator_action,critical
EAVT-L3-WRONG-DIAGNOSIS-032-C05,EAVT-L3-WRONG-DIAGNOSIS-032,3390,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-032-C07,EAVT-L3-WRONG-DIAGNOSIS-032,3400,elou_low_level_interlock,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-032-C08,EAVT-L3-WRONG-DIAGNOSIS-032,3430,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L3-WRONG-DIAGNOSIS-032-C09,EAVT-L3-WRONG-DIAGNOSIS-032,3600,k2_critical_instability,process_or_rule,critical
EAVT-L3-NO-VERIFICATION-033-C01,EAVT-L3-NO-VERIFICATION-033,3270,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-NO-VERIFICATION-033-C02,EAVT-L3-NO-VERIFICATION-033,3275,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-NO-VERIFICATION-033-C03,EAVT-L3-NO-VERIFICATION-033,3280,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-NO-VERIFICATION-033-C04,EAVT-L3-NO-VERIFICATION-033,3355,elou_low_level_interlock,process_or_rule,critical
EAVT-L3-NO-VERIFICATION-034-C01,EAVT-L3-NO-VERIFICATION-034,3210,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-NO-VERIFICATION-034-C02,EAVT-L3-NO-VERIFICATION-034,3215,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-NO-VERIFICATION-034-C03,EAVT-L3-NO-VERIFICATION-034,3220,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-NO-VERIFICATION-034-C05,EAVT-L3-NO-VERIFICATION-034,3260,dangerous_heat_compensation,operator_action,critical
EAVT-L3-NO-VERIFICATION-034-C04,EAVT-L3-NO-VERIFICATION-034,3260,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L3-NO-VERIFICATION-034-C06,EAVT-L3-NO-VERIFICATION-034,3290,elou_low_level_interlock,process_or_rule,critical
EAVT-L3-CHAOTIC-035-C01,EAVT-L3-CHAOTIC-035,3205,t11_branch_overtemperature,process_or_rule,critical
EAVT-L3-CHAOTIC-035-C02,EAVT-L3-CHAOTIC-035,3210,severe_flow_imbalance,process_or_rule,critical
EAVT-L3-CHAOTIC-035-C03,EAVT-L3-CHAOTIC-035,3215,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L3-CHAOTIC-035-C04,EAVT-L3-CHAOTIC-035,3260,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L3-CHAOTIC-035-C05,EAVT-L3-CHAOTIC-035,3285,elou_low_level_interlock,process_or_rule,critical
