dataset_version,session_id,split,random_seed,difficulty_level,operator_profile,disturbance_cause,disturbance_target_branch,disturbance_onset_s,primary_alarm_at_s,detection_at_s,diagnosis_at_s,diagnosis_correct,correct_action_at_s,verification_end_s,session_outcome,critical_event_count,snapshot_count,valid_snapshot_count,positive_snapshot_count,baseline_resultiveness_0_100
1.0.0-synthetic-elou-avt,EAVT-L2-CHAOTIC-023,train,20443149,2,chaotic,feed_pump_capacity_loss,2,3170,3240,3330,3365,0,3545,3675,stabilized_verified,9,781,775,34,75.86
1.0.0-synthetic-elou-avt,EAVT-L2-CHAOTIC-024,train,20451069,2,chaotic,flow_control_valve_stiction,3,3120,3190,3280,3315,1,3327,3457,stabilized_verified,5,781,775,22,72.51
1.0.0-synthetic-elou-avt,EAVT-L3-EXPERT-025,train,20459088,3,expert,flow_control_valve_stiction,2,3155,3215,3245,3270,1,3280,3410,stabilized_verified,3,781,775,8,61.73
1.0.0-synthetic-elou-avt,EAVT-L3-EXPERT-026,train,20467008,3,expert,feed_pump_capacity_loss,3,3210,3270,3300,3325,1,3335,3465,stabilized_verified,3,781,775,8,75.26
1.0.0-synthetic-elou-avt,EAVT-L3-SLOW-027,train,20474926,3,slow,flow_control_valve_stiction,1,3070,3130,3265,3315,1,3330,3460,stabilized_verified,7,781,775,30,74.19
1.0.0-synthetic-elou-avt,EAVT-L3-SLOW-028,train,20482846,3,slow,feed_pump_capacity_loss,2,3100,3160,3240,3290,0,,,not_stabilized,9,781,775,32,47.34
1.0.0-synthetic-elou-avt,EAVT-L3-ALARM-OVERLOAD-029,validation,20490764,3,alarm_overload,flow_control_valve_stiction,3,3150,3210,3305,3355,1,3370,,stabilized_unverified,7,781,775,30,53.09
1.0.0-synthetic-elou-avt,EAVT-L3-ALARM-OVERLOAD-030,validation,20498684,3,alarm_overload,feed_pump_capacity_loss,1,3105,3165,3255,3305,1,3320,,stabilized_unverified,7,781,775,30,62.62
1.0.0-synthetic-elou-avt,EAVT-L3-WRONG-DIAGNOSIS-031,test,20506602,3,wrong_diagnosis,flow_control_valve_stiction,2,3090,3150,3185,3225,0,,,not_stabilized,9,781,775,31,74.14
1.0.0-synthetic-elou-avt,EAVT-L3-WRONG-DIAGNOSIS-032,train,20514522,3,wrong_diagnosis,feed_pump_capacity_loss,3,3210,3270,3315,3355,0,,,not_stabilized,9,781,775,31,85.31
1.0.0-synthetic-elou-avt,EAVT-L3-NO-VERIFICATION-033,train,20522440,3,no_verification,flow_control_valve_stiction,1,3160,3220,3270,3300,1,3311,,stabilized_unverified,4,781,775,14,66.5
1.0.0-synthetic-elou-avt,EAVT-L3-NO-VERIFICATION-034,train,20530360,3,no_verification,feed_pump_capacity_loss,2,3100,3160,3195,3225,1,3236,,stabilized_unverified,6,781,775,20,59.49
1.0.0-synthetic-elou-avt,EAVT-L3-CHAOTIC-035,test,20538278,3,chaotic,flow_control_valve_stiction,3,3095,3155,3275,3310,1,3322,3452,stabilized_verified,9,781,775,37,92.26
1.0.0-synthetic-elou-avt,EAVT-L3-CHAOTIC-036,train,20546198,3,chaotic,feed_pump_capacity_loss,1,3175,3235,3315,3350,1,3362,,stabilized_unverified,8,781,775,29,86.18
