alarm_id,session_id,alarm_code,alarm_level,equipment_code,started_at_s,acknowledged_at_s,cleared_at_s,is_nuisance
EAVT-L1-EXPERT-001-N019,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,2575,2585,2590,1
EAVT-L1-EXPERT-001-N020,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,2790,2800,2810,1
EAVT-L1-EXPERT-001-N021,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,2810,2820,2825,1
EAVT-L1-EXPERT-001-N022,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,2930,2940,2945,1
EAVT-L1-EXPERT-001-N023,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,3270,3280,3290,1
EAVT-L1-EXPERT-001-N024,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,3275,3285,3290,1
EAVT-L1-EXPERT-001-N025,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,3365,3375,3380,1
EAVT-L1-EXPERT-001-N026,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,3585,3595,3615,1
EAVT-L1-EXPERT-001-N027,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,3615,3625,3635,1
EAVT-L1-EXPERT-001-N028,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,3790,3800,3815,1
EAVT-L1-EXPERT-001-S01,EAVT-L1-EXPERT-001,flow_deviation_branch,L1,feed_branch_3,3240,3265,3370,0
EAVT-L1-EXPERT-001-S02,EAVT-L1-EXPERT-001,t11_temperature_deviation,L3,T-1...T-11,3260,3265,3360,0
EAVT-L1-EXPERT-001-S03,EAVT-L1-EXPERT-001,feed_flow_imbalance,L2,feed_system,3265,3270,3335,0
EAVT-L1-EXPERT-001-S04,EAVT-L1-EXPERT-001,feed_flow_imbalance,L2,feed_system,3340,3345,3345,0
EAVT-L1-EXPERT-001-S05,EAVT-L1-EXPERT-001,flow_deviation_branch,L1,feed_branch_3,3375,3380,3385,0
EAVT-L1-EXPERT-002-N001,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,20,30,50,1
EAVT-L1-EXPERT-002-N002,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,50,60,75,1
EAVT-L1-EXPERT-002-N003,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,165,175,180,1
EAVT-L1-EXPERT-002-N004,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,270,280,285,1
EAVT-L1-EXPERT-002-N005,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,330,340,360,1
EAVT-L1-EXPERT-002-N006,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,405,415,430,1
EAVT-L1-EXPERT-002-N007,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,405,415,420,1
EAVT-L1-EXPERT-002-N008,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,455,465,470,1
EAVT-L1-EXPERT-002-N009,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,590,600,620,1
EAVT-L1-EXPERT-002-N010,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,645,655,660,1
EAVT-L1-EXPERT-002-N011,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,825,835,840,1
EAVT-L1-EXPERT-002-N012,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,865,875,895,1
EAVT-L1-EXPERT-002-N013,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1095,1105,1125,1
EAVT-L1-EXPERT-002-N014,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1155,1165,1170,1
EAVT-L1-EXPERT-002-N015,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1220,1230,1240,1
EAVT-L1-EXPERT-002-N016,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1305,1315,1320,1
EAVT-L1-EXPERT-002-N017,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1320,1330,1350,1
EAVT-L1-EXPERT-002-N018,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1390,1400,1420,1
EAVT-L1-EXPERT-002-N019,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1515,1525,1540,1
EAVT-L1-EXPERT-002-N020,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1550,1560,1580,1
EAVT-L1-EXPERT-002-N021,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1595,1605,1620,1
EAVT-L1-EXPERT-002-N022,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1730,1740,1760,1
EAVT-L1-EXPERT-002-N023,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,1895,1905,1915,1
EAVT-L1-EXPERT-002-N024,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,2070,2080,2100,1
EAVT-L1-EXPERT-002-N025,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,2285,2295,2315,1
EAVT-L1-EXPERT-002-N026,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,2345,2355,2375,1
EAVT-L1-EXPERT-002-N027,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,2380,2390,2405,1
EAVT-L1-EXPERT-002-N028,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,2515,2525,2530,1
EAVT-L1-EXPERT-002-N029,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,2735,2745,2765,1
EAVT-L1-EXPERT-002-N030,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,3235,3245,3265,1
EAVT-L1-EXPERT-002-N031,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,3290,3300,3305,1
EAVT-L1-EXPERT-002-N032,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,3450,3460,3465,1
EAVT-L1-EXPERT-002-N033,EAVT-L1-EXPERT-002,nuisance_misc,L0,auxiliary_system,3570,3580,3600,1
EAVT-L1-EXPERT-002-S01,EAVT-L1-EXPERT-002,flow_deviation_branch,L1,feed_branch_1,3295,3320,3900,0
EAVT-L1-EXPERT-002-S02,EAVT-L1-EXPERT-002,t11_temperature_deviation,L3,T-1...T-11,3310,3320,3900,0
EAVT-L1-EXPERT-002-S03,EAVT-L1-EXPERT-002,feed_flow_imbalance,L2,feed_system,3325,3330,3900,0
EAVT-L1-EXPERT-002-S04,EAVT-L1-EXPERT-002,elou_load_imbalance,L4,ELOU,3390,3395,3900,0
EAVT-L1-EXPERT-002-S05,EAVT-L1-EXPERT-002,k1_feed_deviation,L5,K-1,3505,3510,3900,0
EAVT-L1-SLOW-003-N001,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,135,155,155,1
EAVT-L1-SLOW-003-N002,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,140,160,170,1
EAVT-L1-SLOW-003-N003,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,530,550,560,1
EAVT-L1-SLOW-003-N004,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,540,560,570,1
EAVT-L1-SLOW-003-N005,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,815,835,840,1
EAVT-L1-SLOW-003-N006,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,835,855,855,1
EAVT-L1-SLOW-003-N007,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,1025,1045,1040,1
EAVT-L1-SLOW-003-N008,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,1245,1265,1260,1
EAVT-L1-SLOW-003-N009,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,1560,1580,1590,1
EAVT-L1-SLOW-003-N010,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,1575,1595,1600,1
EAVT-L1-SLOW-003-N011,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,1800,1820,1825,1
EAVT-L1-SLOW-003-N012,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,1885,1905,1905,1
EAVT-L1-SLOW-003-N013,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,1895,1915,1920,1
EAVT-L1-SLOW-003-N014,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,1985,2005,2005,1
EAVT-L1-SLOW-003-N015,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,2065,2085,2095,1
EAVT-L1-SLOW-003-N016,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,2155,2175,2180,1
EAVT-L1-SLOW-003-N017,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,2180,2200,2195,1
EAVT-L1-SLOW-003-N018,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,2470,2490,2490,1
EAVT-L1-SLOW-003-N019,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,2850,2870,2870,1
EAVT-L1-SLOW-003-N020,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,2960,2980,2980,1
EAVT-L1-SLOW-003-N021,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,3015,3035,3035,1
EAVT-L1-SLOW-003-N022,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,3055,3075,3075,1
EAVT-L1-SLOW-003-N023,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,3230,3250,3255,1
EAVT-L1-SLOW-003-N024,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,3360,3380,3375,1
EAVT-L1-SLOW-003-N025,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,3600,3620,3620,1
EAVT-L1-SLOW-003-N026,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,3615,3635,3645,1
EAVT-L1-SLOW-003-N027,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,3620,3640,3640,1
EAVT-L1-SLOW-003-N028,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,3675,3695,3700,1
EAVT-L1-SLOW-003-N029,EAVT-L1-SLOW-003,nuisance_misc,L0,auxiliary_system,3725,3745,3750,1
EAVT-L1-SLOW-003-S01,EAVT-L1-SLOW-003,flow_deviation_branch,L1,feed_branch_2,3140,3245,3430,0
EAVT-L1-SLOW-003-S02,EAVT-L1-SLOW-003,t11_temperature_deviation,L3,T-1...T-11,3155,3245,3470,0
EAVT-L1-SLOW-003-S03,EAVT-L1-SLOW-003,feed_flow_imbalance,L2,feed_system,3165,3245,3410,0
EAVT-L1-SLOW-003-S04,EAVT-L1-SLOW-003,elou_load_imbalance,L4,ELOU,3225,3245,3365,0
EAVT-L1-SLOW-004-N001,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,10,30,30,1
EAVT-L1-SLOW-004-N002,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,40,60,55,1
EAVT-L1-SLOW-004-N003,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,105,125,135,1
EAVT-L1-SLOW-004-N004,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,120,140,145,1
EAVT-L1-SLOW-004-N005,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,190,210,210,1
EAVT-L1-SLOW-004-N006,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,205,225,220,1
EAVT-L1-SLOW-004-N007,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,445,465,475,1
EAVT-L1-SLOW-004-N008,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,825,845,845,1
EAVT-L1-SLOW-004-N009,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,855,875,870,1
EAVT-L1-SLOW-004-N010,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,910,930,925,1
EAVT-L1-SLOW-004-N011,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,915,935,935,1
EAVT-L1-SLOW-004-N012,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,945,965,975,1
EAVT-L1-SLOW-004-N013,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,1505,1525,1530,1
EAVT-L1-SLOW-004-N014,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,1670,1690,1700,1
EAVT-L1-SLOW-004-N015,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,1880,1900,1905,1
EAVT-L1-SLOW-004-N016,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,1885,1905,1915,1
EAVT-L1-SLOW-004-N017,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,2015,2035,2045,1
EAVT-L1-SLOW-004-N018,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,2215,2235,2235,1
EAVT-L1-SLOW-004-N019,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,2325,2345,2345,1
EAVT-L1-SLOW-004-N020,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,2495,2515,2510,1
EAVT-L1-SLOW-004-N021,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,2800,2820,2815,1
EAVT-L1-SLOW-004-N022,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,2925,2945,2940,1
EAVT-L1-SLOW-004-N023,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,2925,2945,2940,1
EAVT-L1-SLOW-004-N024,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,3165,3185,3180,1
EAVT-L1-SLOW-004-N025,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,3410,3430,3425,1
EAVT-L1-SLOW-004-N026,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,3555,3575,3585,1
EAVT-L1-SLOW-004-N027,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,3630,3650,3645,1
EAVT-L1-SLOW-004-N028,EAVT-L1-SLOW-004,nuisance_misc,L0,auxiliary_system,3690,3710,3710,1
EAVT-L1-SLOW-004-S01,EAVT-L1-SLOW-004,flow_deviation_branch,L1,feed_branch_3,3290,3380,3560,0
EAVT-L1-SLOW-004-S02,EAVT-L1-SLOW-004,t11_temperature_deviation,L3,T-1...T-11,3305,3380,3550,0
EAVT-L1-SLOW-004-S03,EAVT-L1-SLOW-004,feed_flow_imbalance,L2,feed_system,3320,3380,3540,0
EAVT-L1-SLOW-004-S04,EAVT-L1-SLOW-004,elou_load_imbalance,L4,ELOU,3385,3400,3485,0
EAVT-L1-ALARM-OVERLOAD-005-N001,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,125,,150,1
EAVT-L1-ALARM-OVERLOAD-005-N002,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,585,,615,1
EAVT-L1-ALARM-OVERLOAD-005-N003,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,870,,895,1
EAVT-L1-ALARM-OVERLOAD-005-N004,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,975,,1000,1
EAVT-L1-ALARM-OVERLOAD-005-N005,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1045,,1065,1
EAVT-L1-ALARM-OVERLOAD-005-N006,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1060,,1090,1
EAVT-L1-ALARM-OVERLOAD-005-N007,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1360,,1385,1
EAVT-L1-ALARM-OVERLOAD-005-N008,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1380,,1400,1
EAVT-L1-ALARM-OVERLOAD-005-N009,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1560,,1580,1
EAVT-L1-ALARM-OVERLOAD-005-N010,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1690,,1720,1
EAVT-L1-ALARM-OVERLOAD-005-N011,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1725,,1755,1
EAVT-L1-ALARM-OVERLOAD-005-N012,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1760,,1780,1
EAVT-L1-ALARM-OVERLOAD-005-N013,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1810,,1835,1
EAVT-L1-ALARM-OVERLOAD-005-N014,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,1905,,1920,1
EAVT-L1-ALARM-OVERLOAD-005-N015,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,2120,,2140,1
EAVT-L1-ALARM-OVERLOAD-005-N016,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,2160,,2190,1
EAVT-L1-ALARM-OVERLOAD-005-N017,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,2825,,2850,1
EAVT-L1-ALARM-OVERLOAD-005-N018,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,3110,,3130,1
EAVT-L1-ALARM-OVERLOAD-005-N019,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,3150,,3175,1
EAVT-L1-ALARM-OVERLOAD-005-N020,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,3535,,3550,1
EAVT-L1-ALARM-OVERLOAD-005-N021,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,3700,,3720,1
EAVT-L1-ALARM-OVERLOAD-005-N022,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,3750,,3775,1
EAVT-L1-ALARM-OVERLOAD-005-N023,EAVT-L1-ALARM-OVERLOAD-005,nuisance_misc,L0,auxiliary_system,3810,,3835,1
EAVT-L1-ALARM-OVERLOAD-005-S01,EAVT-L1-ALARM-OVERLOAD-005,flow_deviation_branch,L1,feed_branch_1,3285,3380,3290,0
EAVT-L1-ALARM-OVERLOAD-005-S02,EAVT-L1-ALARM-OVERLOAD-005,flow_deviation_branch,L1,feed_branch_1,3295,3380,3560,0
EAVT-L1-ALARM-OVERLOAD-005-S03,EAVT-L1-ALARM-OVERLOAD-005,t11_temperature_deviation,L3,T-1...T-11,3310,3380,3550,0
EAVT-L1-ALARM-OVERLOAD-005-S04,EAVT-L1-ALARM-OVERLOAD-005,feed_flow_imbalance,L2,feed_system,3320,3380,3530,0
EAVT-L1-ALARM-OVERLOAD-005-S05,EAVT-L1-ALARM-OVERLOAD-005,elou_load_imbalance,L4,ELOU,3380,3425,3495,0
EAVT-L1-ALARM-OVERLOAD-005-S06,EAVT-L1-ALARM-OVERLOAD-005,feed_flow_imbalance,L2,feed_system,3535,3580,3540,0
EAVT-L1-ALARM-OVERLOAD-006-N001,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,215,,235,1
EAVT-L1-ALARM-OVERLOAD-006-N002,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,290,,315,1
EAVT-L1-ALARM-OVERLOAD-006-N003,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,405,,425,1
EAVT-L1-ALARM-OVERLOAD-006-N004,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,610,,635,1
EAVT-L1-ALARM-OVERLOAD-006-N005,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,615,,640,1
EAVT-L1-ALARM-OVERLOAD-006-N006,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,1090,,1120,1
EAVT-L1-ALARM-OVERLOAD-006-N007,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,1105,,1135,1
EAVT-L1-ALARM-OVERLOAD-006-N008,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,1600,,1625,1
EAVT-L1-ALARM-OVERLOAD-006-N009,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,1765,,1780,1
EAVT-L1-ALARM-OVERLOAD-006-N010,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,1960,,1980,1
EAVT-L1-ALARM-OVERLOAD-006-N011,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,2140,,2165,1
EAVT-L1-ALARM-OVERLOAD-006-N012,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,2530,,2545,1
EAVT-L1-ALARM-OVERLOAD-006-N013,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,2770,,2795,1
EAVT-L1-ALARM-OVERLOAD-006-N014,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,3145,,3160,1
EAVT-L1-ALARM-OVERLOAD-006-N015,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,3255,,3270,1
EAVT-L1-ALARM-OVERLOAD-006-N016,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,3280,,3295,1
EAVT-L1-ALARM-OVERLOAD-006-N017,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,3535,,3560,1
EAVT-L1-ALARM-OVERLOAD-006-N018,EAVT-L1-ALARM-OVERLOAD-006,nuisance_misc,L0,auxiliary_system,3600,,3620,1
EAVT-L1-ALARM-OVERLOAD-006-S01,EAVT-L1-ALARM-OVERLOAD-006,flow_deviation_branch,L1,feed_branch_2,3220,3280,3455,0
EAVT-L1-ALARM-OVERLOAD-006-S02,EAVT-L1-ALARM-OVERLOAD-006,t11_temperature_deviation,L3,T-1...T-11,3240,3285,3440,0
EAVT-L1-ALARM-OVERLOAD-006-S03,EAVT-L1-ALARM-OVERLOAD-006,feed_flow_imbalance,L2,feed_system,3255,3300,3425,0
EAVT-L1-ALARM-OVERLOAD-006-S04,EAVT-L1-ALARM-OVERLOAD-006,elou_load_imbalance,L4,ELOU,3320,3365,3360,0
EAVT-L1-ALARM-OVERLOAD-006-S05,EAVT-L1-ALARM-OVERLOAD-006,elou_load_imbalance,L4,ELOU,3370,3415,3375,0
EAVT-L1-WRONG-DIAGNOSIS-007-N001,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,250,270,265,1
EAVT-L1-WRONG-DIAGNOSIS-007-N002,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,290,310,315,1
EAVT-L1-WRONG-DIAGNOSIS-007-N003,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,320,340,350,1
EAVT-L1-WRONG-DIAGNOSIS-007-N004,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,475,495,490,1
EAVT-L1-WRONG-DIAGNOSIS-007-N005,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,710,730,730,1
EAVT-L1-WRONG-DIAGNOSIS-007-N006,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,805,825,835,1
EAVT-L1-WRONG-DIAGNOSIS-007-N007,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,925,945,950,1
EAVT-L1-WRONG-DIAGNOSIS-007-N008,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,1015,1035,1030,1
EAVT-L1-WRONG-DIAGNOSIS-007-N009,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,1145,1165,1165,1
EAVT-L1-WRONG-DIAGNOSIS-007-N010,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,1185,1205,1210,1
EAVT-L1-WRONG-DIAGNOSIS-007-N011,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,1540,1560,1565,1
EAVT-L1-WRONG-DIAGNOSIS-007-N012,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,1555,1575,1580,1
EAVT-L1-WRONG-DIAGNOSIS-007-N013,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,1665,1685,1685,1
EAVT-L1-WRONG-DIAGNOSIS-007-N014,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,2140,2160,2170,1
EAVT-L1-WRONG-DIAGNOSIS-007-N015,EAVT-L1-WRONG-DIAGNOSIS-007,nuisance_misc,L0,auxiliary_system,2225,2245,2240,1
